Loviflo  ;27;5;2;10;2;40;;;;12;Legendary Eagle        ;  Nuke  ;   2021-02-07 17:28:42  ;  00:00:14  ;  00:10:49  ;  9 : 3 
Kortrex hellcase.com  ;31;9;1;13;5;44;;;;20;Distinguished M-G      ;  Cobblestone  ;   2021-02-07 17:12:18  ;  00:01:07  ;  00:13:13  ;  6 : 9 
Bombas  ;41;5;1;10;1;60;;;;15;Legendary Eagle Master ;  Cobblestone  ;   2021-02-07 17:12:18  ;  00:01:07  ;  00:13:13  ;  6 : 9 
Ilesis  ;15;12;2;7;4;23;;;;26;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 17:12:18  ;  00:01:07  ;  00:13:13  ;  6 : 9 
Loviflo  ;22;10;1;8;5;50;;;;21;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 17:12:18  ;  00:01:07  ;  00:13:13  ;  6 : 9 
Loviflo  ;27;15;1;9;5;13;;;;33;Legendary Eagle        ;  Nuke  ;   2021-02-06 21:40:25  ;  00:00:29  ;  00:13:32  ;  8 : 8 
Ilesis  ;27;7;2;13;3;42;;;;22;Legendary Eagle        ;  Nuke  ;   2021-02-06 21:40:25  ;  00:00:29  ;  00:13:32  ;  8 : 8 
Ongaku-San  ;64;13;2;10;4;46;;;;30;Legendary Eagle Master ;  Nuke  ;   2021-02-06 21:40:25  ;  00:00:29  ;  00:13:32  ;  8 : 8 
Lebron James  ;49;9;6;12;4;44;;;;24;Master Guardian 2      ;  Nuke  ;   2021-02-06 21:40:25  ;  00:00:29  ;  00:13:32  ;  8 : 8 
Loviflo  ;27;13;3;7;8;23;;;;33;Legendary Eagle        ;  Nuke  ;   2021-02-06 21:25:37  ;  00:00:38  ;  00:11:09  ;  9 : 6 
Ilesis  ;28;9;1;7;1;33;;;;21;Legendary Eagle        ;  Nuke  ;   2021-02-06 21:25:37  ;  00:00:38  ;  00:11:09  ;  9 : 6 
NORBIII  ;57;12;0;9;5;25;;;;30;Legendary Eagle        ;  Nuke  ;   2021-02-06 21:25:37  ;  00:00:38  ;  00:11:09  ;  9 : 6 
